s,retailid,manitemid,y,m,d,efr,efc,ohb,promotypeid,srf_adew,srf_aheat,srf_amax,srf_aprcp,srf_cmf,srf_dew,srf_heatw,srf_hum,srf_max,srf_min,srf_prcp,srf_prcpp,srf_uv,srf_wnds,p_cci1,p_cci2,p_cci3,p_ces,p_cpi,p_cru,p_dies,p_emp,p_fern,p_fmr,p_gas,p_gern,p_hpe,p_hpi,p_hse,p_hsn,p_labf,p_lint,p_mern,p_mhrs,p_nfe,p_nhc,p_nhs,p_phm,p_rs,p_sint,p_smkt,p_uner,cy,zip_pop,age_median,white,black,asian,hispanic,fam_w_children,fam_female_head,house_rental,ed_bs,labor_force,commut_tele,commut_avg,inc_median_house,inc_mean_house,inc_mean_fam,inc_per_cap,house_rooms_median,house_oil
0,1,1,2012,1,4,11.2,11.2,890,0,-14.373571,8.716192,-9.1807153,-0.05333333,-3.9233333,-10.605238,9.7323,-24.23809433,-6.6657143,-13.557619,-0.03690476,-21.8571434,0,-1.803333,61.5,38.8,76.7,1338,227.505,103.22,3.135,8583615,8747,3.98,2.985,1458.3,266600,616,600000,25,9449907,3.04,756.69,40.4,8645.5,90,75,6.54,360448,0.01,1277.3,9.2,0.8,4221,37.900002,7611,642,94,316,429,151,225,363,1947,44,29.9,70052,69887,72170,24810,5.6999998,1196
2,1,1,2012,1,5,11.2,11.2,890,0,3.1045248,-2.4521427,3.5933321,-0.02833334,4.8809521,0.22214277,6.620697,-19.26190186,7.0097635,6.6811888,-0.11071429,6.833332062,0,-0.88047585,61.5,38.8,76.7,1085,227.505,101.81,3.082,1784824,1630.8,3.98,2.898,291.3,240400,616,1260000,78,1974839,3.06,740.94,39.9,1643.1,88,135,7.04,360448,0.01,1281.06,9.6,0.87,43663,40.400002,80730,1151,2980,1384,5130,1685,5480,7920,23801,1554,17.6,44776,58650,55994,26017,5.8000002,490
0,1,1,2012,1,7,11.2,11.2,890,0,10.999523,-8.0171435,3.430954,-0.01309524,4.4259524,6.6940476,15.99034,9,7.1759508,10.823334,-0.01071429,-5.595238209,0,-2.3400002,61.5,38.8,76.7,1029,227.505,101.56,3.117,11515624,10724.2,3.98,2.889,1788.8,175700,616,1760000,192,12462387,3.02,795.16,44.2,10465.7,274,403,7.1,360448,0.01,1277.81,7.6,0.97,10353,34.799999,19147,367,72,927,1533,346,819,855,5595,166,31.1,48026,58189,52292,20893,5.4000001,20
0,1,1,2012,1,4,11.2,11.2,890,0,21.527619,-25.524761,32.057144,-0.00166667,16.293809,11.230476,35.10739,-7.761901855,24.808096,19.168333,-0.03095238,-9.738095284,0,-0.79500092,61.5,38.8,76.7,1124,227.505,103.22,3.135,2754428,2710.2,3.98,2.985,410.3,150600,616,1010000,43,2942318,3.04,782.96,41.1,2695.1,88,110,6.54,360448,0.01,1277.3,6.4,0.8,3232,40.900002,5919,17,393,64,376,70,282,235,1477,112,18.9,34917,39209,42328,16928,5.8000002,179
2,1,1,2012,1,6,11.2,11.2,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,38.8,76.7,1124,227.505,101.56,3.117,4146383,4007.8,3.98,2.889,615,150600,616,1010000,43,4593805,3.02,886.82,42.8,3949,88,110,7.1,360448,0.01,1277.81,9.7,0.93,1115,44.799999,2189,3,10,12,113,28,66,48,484,37,26.700001,27875,33513,32813,15011,4.9000001,115
4,1,1,2012,1,6,11.2,11.2,890,0,12.836666,-15.047857,22.350001,-0.07309524,12.097857,5.9302383,13.82021,-15.40476227,17.414049,6.5971432,-0.07857143,-26.9285717,0,0.17214294,61.5,38.8,76.7,1029,227.505,101.56,3.117,2829065,2691.1,3.98,2.889,423.9,175700,616,1760000,192,3097858,3.02,690.07,41.1,2666.2,274,403,7.1,360448,0.01,1277.81,8.7,0.93,48773,36.599998,91459,3902,1050,780,6788,1872,4732,6205,26900,921,27.6,51916,63403,60250,24632,6.1999998,49
0,1,1,2012,1,7,11.2,11.2,890,0,13.950237,-16.488333,22.118332,-0.06547619,11.39119,8.1342858,10.75532,-2.357143402,15.738094,12.117619,-0.04047619,-17.83333397,0,0.34857208,61.5,38.8,76.7,1338,227.505,101.56,3.117,8583615,8747,3.98,2.889,1458.3,266600,616,600000,25,9449907,3.02,756.69,40.4,8645.5,90,75,7.1,360448,0.01,1277.81,9.2,0.97,85161,28.4,6764,148469,1273,11842,11907,11965,24343,2625,30322,282,50.599998,20839,37242,23106,10666,3.8,7929
6,1,1,2012,1,4,11.2,11.2,890,0,-18.212857,13.275001,-14.819998,-0.04261905,-5.1985714,-9.9088095,10.77586,-17.5,-9.6050012,-11.84119,-0.02738095,-24.73809433,0,-4.1845242,,,,,,,,,3876.5,,,618,,,,,,,804.22,41.2,,,,,,,,,0.8,6203,37,11457,469,247,284,849,169,521,779,3008,77,32.799999,62420,78376,72629,27673,6.4000001,568
0,1,1,2012,1,1,11.2,11.2,890,0,20.862381,-11.535,13.128332,0.07690476,10.471667,9.6447618,10.28447,7.73809433,13.881191,12.441904,0.01547619,-5.166666031,0,1.4999995,61.5,38.8,76.7,1338,227.505,98.83,2.964,8583615,8747,3.98,2.902,1458.3,266600,616,600000,25,9449907,2.89,756.69,40.4,8645.5,90,75,6.31,360448,0,1257.6,9.2,0.54,24471,39.299999,47633,154,861,715,2958,710,294,3348,11605,307,37.400002,79202,85693,85769,29666,7.0999999,5257
0,1,1,2012,1,5,11.2,11.2,890,0,4.6809517,-3.2669054,6.8271431,-0.0102381,-2.0790477,4.9466667,3.979248,28.2857132,-1.8345222,2.9283328,-0.02261905,-13.26190567,0,2.4664281,61.5,38.8,76.7,1085,227.505,101.81,3.082,16283531,14271.8,3.98,2.898,2385,240400,616,1260000,78,18365887,3.06,822.5,40.9,14391.6,88,135,7.04,360448,0.01,1281.06,11.3,0.87,42471,33.099998,46729,3722,19390,12145,5223,1507,3817,4547,21524,332,30.5,69350,75689,71351,23641,5.3000002,8
0,1,1,2012,1,5,11.2,11.2,890,0,6.0119057,-8.2966652,7.5628567,-0.06309524,3.4430952,3.2009525,11.07636,3.97618866,4.0459518,3.5369055,-0.06904762,-28.2142868,0,-2.1150002,61.5,38.8,76.7,1124,227.505,101.81,3.082,5231215,5149.7,3.98,2.898,759.7,150600,616,1010000,43,5726212,3.06,790.6,40.9,5177.4,88,110,7.04,360448,0.01,1281.06,8.6,0.87,9236,41,14838,3357,87,94,968,513,1242,826,4515,101,19,36454,54840,42277,22971,5.6999998,25
0,1,1,2012,1,7,11.2,11.2,890,0,13.025238,-22.059284,24.127859,-0.06571428,11.850476,8.2314287,10.18739,-2.952381134,16.810238,15.377857,-0.03809524,-17.76190567,0,-1.4140473,61.5,38.8,76.7,1338,227.505,101.56,3.117,8583615,8747,3.98,2.889,1458.3,266600,616,600000,25,9449907,3.02,756.69,40.4,8645.5,90,75,7.1,360448,0.01,1277.81,9.2,0.97,60221,32.299999,20017,49123,1846,35882,6552,6150,19500,2868,23801,479,37.599998,24285,39636,27008,12144,3.7,8929
0,1,1,2012,1,3,11.2,11.2,890,0,-28.927141,12.417381,-18.587616,-0.09547619,-15.23381,-16.582858,-3.740219,-22.26190567,-18.081663,-13.022858,-0.01071429,-12.3571434,1.714285731,7.4900001,61.5,38.8,76.7,1029,227.505,102.96,3.087,832898,7340,3.98,2.994,1084.5,175700,616,1760000,192,9199286,2.99,814.84,40.6,7371.9,274,403,6.52,360448,0,1277.06,9.5,0.72,24390,73.699997,46834,1179,306,737,620,437,1411,2805,5060,195,21.5,33395,44667,43408,26069,4.5,75
0,1,1,2012,1,4,11.2,11.2,890,0,5.9997616,-12.474046,13.282858,-0.01571429,6.9923806,1.790238,15.96594,-12.8571434,9.9047623,7.0950003,-0.05476191,-23.19047546,0,-4.8030949,61.5,38.8,76.7,1124,227.505,103.22,3.135,5873849,5717.3,3.98,2.985,832.4,150600,616,1010000,43,6522160,3.04,771.7,41.4,5768.7,88,110,6.54,360448,0.01,1277.3,9.9,0.8,13286,46,25791,122,491,214,1260,328,124,2001,6334,166,31.5,68136,85721,77654,31858,6.8000002,0
