SalesDate,StoreID,ItemID,SalesR,SalesU,OHC,OHU,OOC,OOU,ORC,ORU
5/19/2011 0:00:00,4,51465,35.92,4,0,0,0,0,0,0
5/20/2011 0:00:00,4,51465,53.88,6,0,0,0,0,0,0
5/21/2011 0:00:00,4,51465,35.92,4,0,0,0,0,0,0
5/22/2011 0:00:00,4,51465,53.88,6,0,0,0,0,0,0
5/23/2011 0:00:00,4,51465,17.96,2,0,0,0,0,0,0
5/24/2011 0:00:00,4,51465,17.96,2,0,0,0,0,0,0
5/26/2011 0:00:00,4,51465,71.84,8,0,0,0,0,0,0
5/27/2011 0:00:00,4,51465,35.92,4,0,0,0,0,0,0
5/28/2011 0:00:00,4,51465,44.9,5,0,0,0,0,0,0
5/29/2011 0:00:00,4,51465,69.77,8,0,0,0,0,0,0
5/30/2011 0:00:00,4,51465,125.27,14,0,0,0,0,0,0
5/31/2011 0:00:00,4,51465,4.49,1,0,0,0,0,0,0
6/1/2011 0:00:00,4,51465,26.94,3,0,0,0,0,0,0
6/2/2011 0:00:00,4,51465,26.94,3,0,0,0,0,0,0
6/3/2011 0:00:00,4,51465,17.96,2,0,0,0,0,0,0
6/4/2011 0:00:00,4,51465,94.29,11,0,0,0,0,0,0
6/5/2011 0:00:00,4,51465,53.88,6,0,0,0,0,0,0
6/6/2011 0:00:00,4,51465,35.47,4,0,0,0,0,0,0
6/7/2011 0:00:00,4,51465,13.47,2,0,0,0,0,0,0
6/8/2011 0:00:00,4,51465,4.49,1,0,0,0,0,0,0
6/10/2011 0:00:00,4,51465,4.5,1,0,0,0,0,0,0
6/11/2011 0:00:00,4,51465,-13.47,-1,0,0,0,0,0,0
6/19/2011 0:00:00,4,51465,-17.96,-2,0,0,0,0,0,0
6/26/2011 0:00:00,4,51465,4.49,1,0,0,0,0,0,0
7/8/2011 0:00:00,4,51465,4.49,1,0,0,0,0,0,0
